affiliation,type,affiliation_QID,city,state_province,country,coordinate-location,lat,long,street-address
"Bayerisches Nationalmuseum, Munich",Institution,Q631056,Munich,,Germany,"48.1432, 11.591",48.1432, 11.591,
Beijing da xue,Institution,Q16952,Beijing,,China,"39.989722222222,116.30527777778",39.989722222222,116.30527777778,
Beijing lian he da xue,Institution,Q4881203,Beijing,,China,"39.98903,116.42085",39.98903,116.42085,
"Belmont, MD",City of Residence,Q127328842,Belmont,MD,USA,"39.303808,-76.768110",39.303808,-76.768110,
Ben-Gurion University of Negev,Institution,Q737332,Beersheba,,Israel,"31.262191666667,34.801511111111",31.262191666667,34.801511111111,
Berkeley Art Museum and Pacific Film Archive,Institution,Q2916280,Berkeley,CA,USA,"37.871111,-122.266389",37.871111,-122.266389,
"Berkeley, CA",City of Residence,Q484678,Berkeley,CA,USA,"37.870277777778,-122.26805555556",37.870277777778,-122.26805555556,
Berlin-Brandenburgische Akademie der Wissenschaften,Institution,Q105045087,Berlin,,Germany,"52.513757, 13.394026",52.513757, 13.394026,
"Berlin, Germany",City of Residence,Q64,Berlin,,Germany,"52.516666666667,13.383333333333",52.516666666667,13.383333333333,
Berliner Ensemble,Institution,Q534914,Berlin,,Germany,"52.521667,13.386111",52.521667,13.386111,
Biblioteca nacional Uruguay,Institution,Q3308862,Montevideo,,Uruguay,"-34.902665,-56.177513",-34.902665,-56.177513,
Bibliotheca Hertziana,Institution,Q339759,Rome,,Italy,"41.90534,12.48414",41.90534,12.48414,
Bibliothèque nationale de France,Institution,Q193563,Paris,,France,"48.833611111111,2.3758333333333",48.833611111111,2.3758333333333,
Bibliothèque royale de Belgique,Institution,Q383931,Brussels,,Belgium,"50.843333, 4.356389",50.843333, 4.356389,
"Bilbao, Spain",City of Residence,Q8692,Bilbao,,Spain,"43.262222222222,-2.9533333333333",43.262222222222,-2.9533333333333,
"Binghamton University, State University of New York",Institution,Q863813,Binghamton,NY,USA,"42.08925, -75.96989",42.08925, -75.96989,
Birmingham Museum of Art,Institution,Q865736,Birmingham,AL,USA,"33.5219,-86.8102",33.5219,-86.8102,
Bishop's University,Institution,Q3551383,Sherbrooke,QC,Canada,"45.366711111111,-71.845463888889",45.366711111111,-71.845463888889,
Blaffer Gallery,Institution,Q4923831,Houston,TX,USA,"29.7247,-95.3425",29.7247,-95.3425,
Blanton Museum of Art,Institution,Q2906140,Austin,TX,USA,"30.281,-97.7375",30.281,-97.7375,
Boğaziçi üniversitesi,Institution,Q896267,Istanbul,,Turkey,"41.083555555556,29.050597222222",41.083555555556,29.050597222222,
Boise State University,Institution,Q891082,Boise,ID,USA,"43.604,-116.204",43.604,-116.204,
Borough of Manhattan Community College,Institution,Q4946345,New York,NY,USA,"40.71869,-74.01185",40.71869,-74.01185,
Boston College,Institution,Q49118,Chestnut Hill,MA,USA,"42.33508333,-71.1703611",42.33508333,-71.1703611,
Boston University,Institution,Q49110,Boston,MA,USA,"42.34888888,-71.1002777",42.34888888,-71.1002777,
Bowdoin College,Institution,Q895401,Brunswick,ME,USA,"43.908611,-69.962778",43.908611,-69.962778,
"Bradford, United Kingdom",City of Residence,Q22905,Bradford,,United Kingdom,"53.794,-1.751",53.794,-1.751,
Brandeis University,Institution,Q49119,Waltham,MA,USA,"42.36566, -71.25974",42.36566, -71.25974,
Brandenburgische Technische Universität Cottbus,Institution,Q149433,Cottbus,,Germany,"51.7672,14.3264",51.7672,14.3264,
"Brest, France",City of Residence,Q12193,Brest,,France,"48.39,-4.486944",48.39,-4.486944,
British Library,Institution,Q23308,London,,United Kingdom,"51.529444,-0.126944",51.529444,-0.126944,
British Museum,Institution,Q6373,London,,United Kingdom,"51.5194444,-0.1269444",51.5194444,-0.1269444,
"Brookline, MA",City of Residence,Q49142,Brookline,MA,USA,"42.331666666667,-71.121666666667",42.331666666667,-71.121666666667,
Brooklyn College,Institution,Q371625,Brooklyn,NY,USA,"40.631111, -73.9525",40.631111, -73.9525,
Brooklyn Museum,Institution,Q632682,Brooklyn,NY,USA,"40.671306,-73.96375",40.671306,-73.96375,
"Brooklyn, NY",City of Residence,Q18419,Brooklyn,NY,USA,"40.692777777778,-73.990277777778",40.692777777778,-73.990277777778,
Brown University,Institution,Q49114,Providence,RI,USA,"41.826167,-71.40325",41.826167,-71.40325,
"Bruce Mau Design, Inc.",Institution,Q28228439,Toronto,ON,Canada,"43.64735506622086,-79.39208448211635",43.64735506622086,-79.39208448211635,
Bryn Mawr College,Institution,Q995265,Bryn Mawr,PA,USA,"40.02639,-75.31361",40.02639,-75.31361,
"Bryn Mawr, PA",Institution,Q995267,Bryn Mawr,PA,USA,"40.0211, -75.3169",40.0211, -75.3169,
"Bucharest, Romania",City of Residence,Q19660,Bucharest,,Romania,"44.4,26.083333333333",44.4,26.083333333333,
Buckingham University,Institution,Q2010561,Buckinghamshire,,United Kingdom,"51.995833333333,-0.99194444444444",51.995833333333,-0.99194444444444,
Bucknell University,Institution,Q3444679,Lewisburg,PA,USA,"40.9546, -76.8836",40.9546, -76.8836,
Budapest History Museum,Institution,Q776086,Budapest,,Hungary,"47.49527778,19.04055556",47.49527778,19.04055556,
Budapest University of Technology,Institution,Q1186843,Budapest,,Hungary,"47.47985,19.05608",47.47985,19.05608,
"Budapest, Hungary",City of Residence,Q1781,Budapest,,Hungary,"47.498333333333,19.040833333333",47.498333333333,19.040833333333,
"Buenos Aires, Argentina",City of Residence,Q1486,Buenos Aires,,Argentina,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,
"Buffalo State College, State University of New York",Institution,Q4570064,Buffalo,NY,USA,"42.9347,-78.8839",42.9347,-78.8839,
Bundesakademie für Kulturelle Bildung Wolfenbüttel,Institution,Q1005405,Wolfenbüttel,,Germany,"52.1627,10.5299",52.1627,10.5299,
California Academy of Sciences,Institution,Q965731,San Francisco,CA,USA,"37.77,-122.466389",37.77,-122.466389,
California College of the Arts,Institution,Q1026804,Oakland,CA,USA,"37.8359,-122.25",37.8359,-122.25,
California Institute of Technology,Institution,Q161562,Los Angeles,CA,USA,"34.1375,-118.125",34.1375,-118.125,
California Institute of the Arts,Institution,Q1026827,Santa Clarita,CA,USA,"34.393055555556,-118.56694444444",34.393055555556,-118.56694444444,
"California State Polytechnic University, Pomona",Institution,Q1026868,Los Angeles,CA,USA,"34.056388888889,-117.82166666667",34.056388888889,-117.82166666667,
California State University Channel Islands,Institution,Q1026905,Camarillo,CA,USA,"34.162,-119.044",34.162,-119.044,
"California State University, Chico",Institution,Q1026912,Chico,CA,USA,"39.73,-121.8475",39.73,-121.8475,
"California State university, Dominguez Hills",Institution,Q1026909,Dominguez Hills,CA,USA,"33.864722222222,-118.25611111111",33.864722222222,-118.25611111111,
"California State University, Northridge",Institution,Q1026939,Northridge,CA,USA,"34.241666666667,-118.52833333333",34.241666666667,-118.52833333333,
Calvin College,Institution,Q2698482,Grand Rapids,MI,USA,"42.930278,-85.588056",42.930278,-85.588056,
"Cambridge, England",City of Residence,Q350,Cambridge,,United Kingdom,"52.208055555556,0.1225",52.208055555556,0.1225,
"Cambridge, Massachusetts",Institution,Q49111,Cambridge,MA,USA,"42.375, -71.106111",42.375, -71.106111,
CAPC Musée d'Art Contemporain de Bordeaux,Institution,Q2945071,Bordeaux,,France,"44.8481,-0.5718",44.8481,-0.5718,
"Caracas, Venezuela",City of Residence,Q1533,Caracas,,Venezuela,"10.5,-66.933333333333",10.5,-66.933333333333,
Carleton University,Institution,Q1041737,Ottawa,ON,Canada,"45.38746154402288,-75.69590507450312",45.38746154402288,-75.69590507450312,
Carnegie Mellon University,Institution,Q190080,Pittsburgh,PA,USA,"40.4425,-79.94333333333333",40.4425,-79.94333333333333,
Case Western Reserve University,Institution,Q1047060,Cleveland,OH,USA,"41.504, -81.608",41.504, -81.608,
Catholic University of America,Institution,Q179036,Washington,DC,USA,"38.933611, -76.998611",38.933611, -76.998611,
CCA Lagos,Institution,Q59536269,Lagos,,Nigeria,"6.503424,3.3786",6.503424,3.3786,
"Center for Advanced Study in the Visual Arts, National Gallery of Art",Institution,Q87195168,Washington,DC,USA,"38.891389, -77.02",38.891389, -77.02,
Central European University,Institution,Q757391,Budapest,,Hungary,"48.173972222222226,16.3885",48.173972222222226,16.3885,
Centre canadien d'architecture,Institution,Q2944913,Montreal,,Canada,"45.491,-73.578556",45.491,-73.578556,
"Centre for Studies in Social Sciences, Calcutta",Institution,Q28450523,Calcutta,,India,"22.4743,88.3923",22.4743,88.3923,
Centre Georges Pompidou,Institution,Q178065,Paris,,France,"48.860642,2.352245",48.860642,2.352245,
Centre national de la recherche scientifique,Institution,Q280413,Paris,,France,"48.8477,2.264",48.8477,2.264,
Centro de Arqueología Urbana,Institution,Q16490623,Buenos Aires,,Argentina,"-34.599722, -58.373056",-34.599722, -58.373056,
Chapman University,Institution,Q1805085,Orange County,CA,USA,"33.792777777778,-117.85138888889",33.792777777778,-117.85138888889,
"Charles University, Prague",Institution,Q31519,Prague,,Czech Republic,"50.0884, 14.4037",50.0884, 14.4037,
Château de Blois,Institution,Q4055,Blois,,France,"47.585501, 1.33095",47.585501, 1.33095,
"Chevy Chase, MD",City of Residence,Q5094454,Chevy Chase,MD,USA,"38.981944, -77.083333",38.981944, -77.083333,
"Chicago, IL",City of Residence,Q1297,Chicago,IL,USA,"41.85003,-87.65005",41.85003,-87.65005,
China Academy of Art,Institution,Q985670,Hangzhou,,China,"30.2455,120.15587",30.2455,120.15587,
"Christchurch, New Zealand",Institution,Q79990,Christchurch,,New Zealand,"-43.531111,172.636111",-43.531111,172.636111,
Christiansborg Archeological Heritage Project,Institution,Q1082964,Accra,,Ghana,"5.5466,-0.1827",5.5466,-0.1827,
"Cigliano, Italy",City of Residence,Q24991,Cigliano,,Italy,"45.308356,8.021025",45.308356,8.021025,
City College of New York,Institution,Q1093910,New York,NY,USA,"40.8194,-73.95",40.8194,-73.95,
City College of San Francisco,Institution,Q2974556,San Francisco,CA,USA,"37.7257,-122.45",37.7257,-122.45,
"City Palace Museum, Udaipur",Institution,Q129099831,Udaipur,,India,"24.57673987219499,73.68355018266631",24.57673987219499,73.68355018266631,
City University London,Institution,Q1094046,London,,United Kingdom,"51.527264,-0.102469",51.527264,-0.102469,
"City University of New York, Graduate School and University Center",Institution,Q1024543,New York,NY,USA,"40.748333333333,-73.983333333333",40.748333333333,-73.983333333333,
"Clamart, France",City of Residence,Q194160,Clamart,,France,"48.800833333333,2.2619444444444",48.800833333333,2.2619444444444,
Claremont graduate university,Institution,Q50015,Claremont,CA,USA,"34.1041,-117.713",34.1041,-117.713,
Claremont McKenna College,Institution,Q5126318,Claremont,CA,USA,"34.1017,-117.707",34.1017,-117.707,
Claude Fredericks Foundation,Institution,Q130360427,Pawlet,VT,USA,"43.34610425261203,-73.17792590613914",43.34610425261203,-73.17792590613914,
Cleveland Museum of Art,Institution,Q657415,Cleveland,OH,USA,"41.50888888888889,-81.61166666666666",41.50888888888889,-81.61166666666666,
Coastal Carolina University,Institution,Q1104405,Conway,SC,USA,"33.7947,-79.0117",33.7947,-79.0117,
Colby College,Institution,Q1075116,Waterville,ME,USA,"44.564167, -69.663056",44.564167, -69.663056,
Colégio de México,Institution,Q1324001,Mexico City,,Mexico,"19.303889,-99.207778",19.303889,-99.207778,
Colgate University,Institution,Q1191335,Hamilton,NY,USA,"42.819444, -75.536389",42.819444, -75.536389,
"College at Brockport, State University of New York",Institution,Q7603617,Brockport,NY,USA,"43.211944444444,-77.95",43.211944444444,-77.95,
Collège de France,Institution,Q202660,Paris,,France,"48.84917,2.34556",48.84917,2.34556,
College of Saint Benedict and Saint John's University,Institution,Q5146820,Collegeville,MN,USA,"45.581,-94.39",45.581,-94.39,
"College of the Holy Cross Worcester, Mass.",Institution,Q2620177,Boston,MA,USA,"42.239167,-71.808333",42.239167,-71.808333,
College of William and Mary,Institution,Q875637,Williamsburg,VA,USA,"37.270833,-76.708333",37.270833,-76.708333,
College of Wooster,Institution,Q1109093,Wooster,OH,USA,"40.8117,-81.9355",40.8117,-81.9355,
Colorado College,Institution,Q1111261,Colorado Springs,CO,USA,"38.848611,-104.825",38.848611,-104.825,
Columbia College Chicago,Institution,Q5149662,Chicago,IL,USA,"41.8739,-87.625",41.8739,-87.625,
Columbia University,Institution,Q49088,New York,NY,USA,"40.8075,-73.961944444444",40.8075,-73.961944444444,
Comenius University,Institution,Q31392,Bratislava,,Slovak Republic,"48.141222, 17.115944",48.141222, 17.115944,
Concordia University,Institution,Q326342,Montreal,,Canada,"45.496944,-73.578056",45.496944,-73.578056,
Consejo nacional de investigaciones científicas y técnicas Argentine,Institution,Q24214058,Santa Fe,,Argentina,"-32.96973584674157,-60.623218358899955",-32.96973584674157,-60.623218358899955,
Consejo Nacional para la Cultura y las Artes (México),Institution,Q1127240,Mexico City,,Mexico,"19.430833,-99.160556",19.430833,-99.160556,
Consejo Superior de Investigaciones Científicas,Institution,Q1024362,Madrid,,Spain,"40.44105, -3.68635",40.44105, -3.68635,
Consejo Superior de Investigaciones Científicas,Institution,Q63759214,Santiago de Compostela,,Spain,"42.875777777778,-8.5524722222222",42.875777777778,-8.5524722222222,
"Copenhagen, Denmark",City of Residence,Q1748,Copenhagen,,Denmark,"55.676111,12.568889",55.676111,12.568889,
Corcoran College of Art and Design,Institution,Q1132041,"Washington, D.C.",DC,USA,"38.896278,-77.039705",38.896278,-77.039705,
"Cork, Ireland",City of Residence,Q36647,Cork,,Ireland,"51.9,-8.473056",51.9,-8.473056,
Cornell University,Institution,Q49115,Ithaca,NY,USA,"42.447222222222,-76.483055555556",42.447222222222,-76.483055555556,
Courtauld Institute of Art,Institution,Q734266,London,,United Kingdom,"51.510732,-0.116938",51.510732,-0.116938,
Croatian Academy of Sciences and Arts,Institution,Q1264085,Zagreb,,Croatia,"45.809167,15.978611",45.809167,15.978611,
Cyprus Institute,Institution,Q7728557,Aglantzia,Nicosia,Cyprus,"35.14092131798558,33.381579626520804",35.14092131798558,33.381579626520804,
Czech Technical University,Institution,Q1329478,Prague,,Czechia,"50.102167, 14.388472",50.102167, 14.388472,
"Dallas, TX",City of Residence,Q16557,Dallas,TX,USA,"32.779166666667,-96.808888888889",32.779166666667,-96.808888888889,
Danish Academy in Rome,Institution,Q11965412,Rome,,Italy,"41.916881, 12.477811",41.916881, 12.477811,
Dartmouth College,Institution,Q49116,Hanover,NH,USA,"43.703333333333,-72.288333333333",43.703333333333,-72.288333333333,
De Montfort University,Institution,Q3551402,Leicester,,United Kingdom,"52.62973,-1.13897",52.62973,-1.13897,
"Deccan College Postgraduate and Research Institute, Pune",Institution,Q5248851,Pune,,India,"18.54945,73.873278",18.54945,73.873278,
DeCordova Museum and Sculpture Park,Institution,Q2019741,Lincoln,MA,USA,"42.4311,-71.3114",42.4311,-71.3114,
Dēmokriteio Panepistēmio Thrakēs,Institution,Q1121584,Thessaloniki,,Greece,"41.141666666666666,24.895",41.141666666666666,24.895,
Denver Art Museum,Institution,Q1189960,Denver,CO,USA,"39.737188,-104.989345",39.737188,-104.989345,
"Department of Preservation of Monuments and Sites, Lucerne",Institution,Q127328906,Lucerne,,Switzerland,"47.0523,8.3059",47.0523,8.3059,
DePaul University,Institution,Q1179603,Chicago,IL,USA,"41.923558,-87.653542",41.923558,-87.653542,
Detroit Institute of Arts,Institution,Q1201549,Detroit,MI,USA,"42.35942,-83.064576",42.35942,-83.064576,
Deutsches archäologisches Institut,Institution,Q695302,Rome,,Italy,"52.4648,13.29522",52.4648,13.29522,
Deutsches Forum für Kunstgeschichte,Institution,Q253771,Paris,,France,"48.867,2.3357397222222",48.867,2.3357397222222,
Deutsches Hygiene-Museum Dresden,Institution,Q874373,Dresden,,Germany,"51.0443,13.7466",51.0443,13.7466,
Dickinson College,Institution,Q1210045,Carlisle,PA,USA,"40.20262,-77.19522",40.20262,-77.19522,
Die Zeit,Institution,Q157142,Hamburg,,Germany,"53.549694, 9.9985",53.549694, 9.9985,
"Dijon, France",City of Residence,Q7003,Dijon,,France,"47.323055555556,5.0419444444444",47.323055555556,5.0419444444444,
Direction des Musées de France,Institution,Q3480397,Paris,,France,"48.86432259256373,2.3326516257642926",48.86432259256373,2.3326516257642926,
Drexel University,Institution,Q603034,Philadelphia,PA,USA,"39.956441,-75.188686",39.956441,-75.188686,
Drury University,Institution,Q5309401,Springfield,MO,USA,"37.2196, -93.2857",37.2196, -93.2857,
Dublin Institute of Technology,Institution,Q3098071,Dublin,,Ireland,"53.338611,-6.266389",53.338611,-6.266389,
"Dublin, Ireland",City of Residence,Q1761,Dublin,,Ireland,"53.34972222222222,-6.260277777777778",53.34972222222222,-6.260277777777778,
Duke University,Institution,Q168751,Durham,NC,USA,"36.001111111111,-78.938888888889",36.001111111111,-78.938888888889,
Dumbarton Oaks,Institution,Q1264942,Washington,DC,USA,"38.914167, -77.063333",38.914167, -77.063333,
"Düsseldorf, Germany",City of Residence,Q1718,Düsseldorf,,Germany,"51.231144444444,6.7723805555556",51.231144444444,6.7723805555556,
East Carolina University,Institution,Q1277776,Greenville,NC,USA,"35.6075,-77.37",35.6075,-77.37,
École d’architecture de Paris-Villemin,Institution,Q54807489,Paris,,France,"48.827657, 2.384594",48.827657, 2.384594,
"École des Hautes Études en Sciences Sociales, Paris",Institution,Q273518,Paris,,France,"48.83607,2.37205",48.83607,2.37205,
École française de Rome,Institution,Q273542,Rome,,Italy,"41.89472222,12.47083333",41.89472222,12.47083333,
"École nationale des ponts et chaussées, Paris",Institution,Q273523,Paris,,France,"48.841111, 2.587778",48.841111, 2.587778,
École nationale supérieure d'architecture de Grenoble,Institution,Q3578178,Grenoble,,France,"45.1605,5.73352",45.1605,5.73352,
École nationale supérieure d'architecture de Marseille,Institution,Q3578180,Marseille,,France,"43.2292,5.43413",43.2292,5.43413,
École nationale supérieure d’architecture de Paris-La Villette,Institution,Q3578185,Paris,,France,"48.8936, 2.38111",48.8936, 2.38111,
École nationale supérieure d'architecture Paris-Malaquais,Institution,Q3578184,Paris,,France,"48.857133888889,2.334205",48.857133888889,2.334205,
École Nationale Supérieure d'Architecture Saint-Etienne,Institution,Q3578188,Sainte-Etienne,,France,"45.4411,4.38115",45.4411,4.38115,
École normale supérieure (France),Institution,Q83259,Paris,,France,"48.842046336704776,2.3451826127028226",48.842046336704776,2.3451826127028226,
École polytechnique fédérale de Lausanne,Institution,Q262760,Lausanne,,Switzerland,"6.520278,6.565556",6.520278,6.565556,
École pratique des haute etudes,Institution,Q273631,Paris,,France,"48.8311,2.34",48.8311,2.34,
"Eden Prairie, MN",City of Residence,Q985558,Eden Prairie,MN,USA,"44.854722,-93.470833",44.854722,-93.470833,
"Edinburgh, Scotland",City of Residence,Q23436,"Edinburgh, Scotland",,United Kingdom,"55.953333, -3.189167",55.953333, -3.189167,
Eesti Kunstiakadeemia,Institution,Q1370318,Tallinn,,Estonia,"59.435034,24.758901",59.435034,24.758901,
"Eidgenössische Technische Hochschule, Zurich",Institution,Q11942,Zurich,,Switzerland,"47.37645,8.54785",47.37645,8.54785,
"Elkhorn, WI",City of Residence,Q1013673,Elkhorn,WI,USA,"42.672778,-88.540278",42.672778,-88.540278,
Elon University,Institution,Q4568893,Elon,NC,USA,"36.106389,-79.500833",36.106389,-79.500833,
Emory University,Institution,Q621043,Atlanta,GA,USA,"33.791111, -84.323333",33.791111, -84.323333,
Eötvös Loránd Tudományegyetem,Institution,Q390287,Budapest,,Hungary,"47.4906,19.0585",47.4906,19.0585,
ERA Architects,Institution,Q130387463,Toronto,,Canada,"43.670084653549644,-79.3824175030005",43.670084653549644,-79.3824175030005,
Ernst-Moritz-Arndt-Universität Greifswald,Institution,Q165528,Greifswald,,Germany,"54.094638888889,13.374625",54.094638888889,13.374625,
Ethnikon Hidryma Ereunōn,Institution,Q1248816,Athens,,Greece,"37.973639,23.745528",37.973639,23.745528,
European University at St. Petersburg,Institution,Q929378,St. Petersburg,,Russia,"59.947888,30.342183",59.947888,30.342183,
"Evanston, IL",City of Residence,Q462799,Evanston,IL,USA,"42.0411414,-87.6900587",42.0411414,-87.6900587,
"Exeter College, University of Oxford",Institution,Q81173,Oxford,,United Kingdom,"51.754166666667,-1.2561111111111",51.754166666667,-1.2561111111111,
"Fairfax, VA",City of Residence,Q501785,Fairfax,VA,USA,"38.852612, -77.304377",38.852612, -77.304377,
"Finarte Auction House, Milan",Institution,Q5449767,Milan,,Italy,"45.481800,9.180220",45.481800,9.180220,"Via Paolo Sarpi, 6, 20154 Milano MI, Italy"
Fine Arts Museums of San Francisco,Institution,Q1416890,San Francisco,CA,USA,"37.7715, -122.468694",37.7715, -122.468694,
Fitchburg Art Museum,Institution,Q5455423,Fitchburg,MA,USA,"42.5869,-71.8038",42.5869,-71.8038,
Flagler College,Institution,Q3073226,St. Augustine,FL,USA,"29.89237,-81.31522",29.89237,-81.31522,
Florida Atlantic University,Institution,Q429863,Boca Raton,FL,USA,"26.3712,-80.1017",26.3712,-80.1017,
